true_strategy	forward_pred_strategy
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
Tight_Aggressive	Tight_Aggressive
